timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686050348889,564,Acessar Site,200,OK,Usuários Carga 1-16,text,true,,4757,119,63,63,https://www.blazedemo.com/,552,0,161
1686050348804,688,Acessar Site,200,OK,Usuários Carga 1-9,text,true,,4757,119,66,66,https://www.blazedemo.com/,677,0,161
1686050349200,314,Acessar Site,429,Too Many Requests,Usuários Carga 1-42,text,false,,212,119,68,68,https://www.blazedemo.com/,314,0,154
1686050348877,639,Acessar Site,200,OK,Usuários Carga 1-15,text,true,,4757,119,68,68,https://www.blazedemo.com/,628,0,157
1686050348901,635,Acessar Site,200,OK,Usuários Carga 1-17,text,true,,4757,119,69,69,https://www.blazedemo.com/,624,0,165
1686050348937,627,Acessar Site,200,OK,Usuários Carga 1-20,text,true,,4757,119,72,72,https://www.blazedemo.com/,615,0,173
1686050349008,593,Acessar Site,200,OK,Usuários Carga 1-26,text,true,,4757,119,75,75,https://www.blazedemo.com/,581,0,155
1686050348924,682,Acessar Site,200,OK,Usuários Carga 1-19,text,true,,4757,119,75,75,https://www.blazedemo.com/,670,0,176
1686050349189,443,Escolher Origem e Destino,200,OK,Usuários Carga 1-4,text,true,,7245,214,78,78,https://www.blazedemo.com/reserve.php,423,0,0
1686050348962,676,Acessar Site,200,OK,Usuários Carga 1-22,text,true,,4757,119,78,78,https://www.blazedemo.com/,664,0,167
1686050349168,470,Escolher Origem e Destino,200,OK,Usuários Carga 1-1,text,true,,7245,214,78,78,https://www.blazedemo.com/reserve.php,451,0,0
1686050348913,731,Acessar Site,200,OK,Usuários Carga 1-18,text,true,,4757,119,79,79,https://www.blazedemo.com/,720,0,183
1686050349069,590,Acessar Site,200,OK,Usuários Carga 1-31,text,true,,4757,119,80,80,https://www.blazedemo.com/,579,0,163
1686050349021,654,Acessar Site,200,OK,Usuários Carga 1-27,text,true,,4757,119,81,81,https://www.blazedemo.com/,642,0,163
1686050348997,693,Acessar Site,200,OK,Usuários Carga 1-25,text,true,,4757,119,82,82,https://www.blazedemo.com/,680,0,167
1686050349189,505,Escolher Origem e Destino,200,OK,Usuários Carga 1-3,text,true,,7245,214,83,83,https://www.blazedemo.com/reserve.php,486,0,0
1686050349032,662,Acessar Site,200,OK,Usuários Carga 1-28,text,true,,4757,119,83,83,https://www.blazedemo.com/,649,0,163
1686050349057,643,Acessar Site,200,OK,Usuários Carga 1-30,text,true,,4757,119,83,83,https://www.blazedemo.com/,632,0,168
1686050349271,442,Acessar Site,200,OK,Usuários Carga 1-48,text,true,,4757,119,84,84,https://www.blazedemo.com/,432,0,167
1686050349300,425,Escolher Origem e Destino,200,OK,Usuários Carga 1-10,text,true,,7245,214,85,85,https://www.blazedemo.com/reserve.php,407,0,0
1686050348973,822,Acessar Site,200,OK,Usuários Carga 1-23,text,true,,4757,119,91,91,https://www.blazedemo.com/,809,0,157
1686050349140,645,Acessar Site,200,OK,Usuários Carga 1-37,text,true,,4757,119,90,90,https://www.blazedemo.com/,633,0,160
1686050349250,529,Acessar Site,200,OK,Usuários Carga 1-46,text,true,,4757,119,90,90,https://www.blazedemo.com/,518,0,171
1686050349174,601,Escolher Origem e Destino,200,OK,Usuários Carga 1-5,text,true,,7245,214,89,89,https://www.blazedemo.com/reserve.php,581,0,0
1686050349290,485,Escolher Origem e Destino,200,OK,Usuários Carga 1-6,text,true,,7245,214,89,89,https://www.blazedemo.com/reserve.php,465,0,0
1686050349045,715,Acessar Site,200,OK,Usuários Carga 1-29,text,true,,4757,119,88,88,https://www.blazedemo.com/,703,0,156
1686050349225,523,Acessar Site,200,OK,Usuários Carga 1-44,text,true,,4757,119,87,87,https://www.blazedemo.com/,511,0,162
1686050349153,646,Acessar Site,200,OK,Usuários Carga 1-38,text,true,,4757,119,91,91,https://www.blazedemo.com/,634,0,162
1686050349345,460,Acessar Site,200,OK,Usuários Carga 1-54,text,true,,4757,119,92,92,https://www.blazedemo.com/,448,0,153
1686050349131,676,Acessar Site,200,OK,Usuários Carga 1-36,text,true,,4757,119,92,92,https://www.blazedemo.com/,662,0,165
1686050349237,592,Acessar Site,200,OK,Usuários Carga 1-45,text,true,,4757,119,94,94,https://www.blazedemo.com/,581,0,167
1686050349290,549,Escolher Origem e Destino,200,OK,Usuários Carga 1-2,text,true,,7245,214,95,95,https://www.blazedemo.com/reserve.php,528,0,0
1686050349306,533,Escolher Origem e Destino,200,OK,Usuários Carga 1-7,text,true,,7245,214,95,95,https://www.blazedemo.com/reserve.php,514,0,0
1686050349297,564,Acessar Site,200,OK,Usuários Carga 1-50,text,true,,4757,119,97,97,https://www.blazedemo.com/,552,0,164
1686050349404,462,Acessar Site,200,OK,Usuários Carga 1-59,text,true,,4757,119,97,97,https://www.blazedemo.com/,449,0,180
1686050349319,547,Escolher Origem e Destino,200,OK,Usuários Carga 1-12,text,true,,7245,214,97,97,https://www.blazedemo.com/reserve.php,527,0,0
1686050349437,449,Escolher Origem e Destino,200,OK,Usuários Carga 1-21,text,true,,7245,214,99,99,https://www.blazedemo.com/reserve.php,429,0,0
1686050349212,676,Acessar Site,200,OK,Usuários Carga 1-43,text,true,,4757,119,99,99,https://www.blazedemo.com/,666,0,157
1686050349357,545,Acessar Site,200,OK,Usuários Carga 1-55,text,true,,4757,119,100,100,https://www.blazedemo.com/,533,0,152
1686050349638,266,Escolher Origem e Destino,200,OK,Usuários Carga 1-22,text,true,,7245,214,100,100,https://www.blazedemo.com/reserve.php,244,0,0
1686050349368,540,Acessar Site,200,OK,Usuários Carga 1-56,text,true,,4757,119,100,100,https://www.blazedemo.com/,528,0,152
1686050349428,498,Acessar Site,200,OK,Usuários Carga 1-61,text,true,,4757,119,102,102,https://www.blazedemo.com/,486,0,174
1686050349400,538,Escolher Origem e Destino,200,OK,Usuários Carga 1-24,text,true,,7245,214,103,103,https://www.blazedemo.com/reserve.php,519,0,0
1686050349382,565,Acessar Site,200,OK,Usuários Carga 1-57,text,true,,4757,119,104,104,https://www.blazedemo.com/,554,0,155
1686050349421,526,Acessar Site,200,OK,Usuários Carga 1-60,text,true,,4757,119,104,104,https://www.blazedemo.com/,515,0,184
1686050349080,871,Acessar Site,200,OK,Usuários Carga 1-32,text,true,,4757,119,104,104,https://www.blazedemo.com/,859,0,156
1686050349694,273,Escolher o Voo,200,OK,Usuários Carga 1-3,text,true,,6719,267,105,105,https://www.blazedemo.com/purchase.php,261,0,0
1686050349308,667,Acessar Site,200,OK,Usuários Carga 1-51,text,true,,4757,119,106,106,https://www.blazedemo.com/,653,0,161
1686050349524,456,Acessar Site,200,OK,Usuários Carga 1-69,text,true,,4757,119,107,107,https://www.blazedemo.com/,445,0,170
1686050349548,436,Acessar Site,200,OK,Usuários Carga 1-71,text,true,,4757,119,107,107,https://www.blazedemo.com/,424,0,153
1686050349492,506,Escolher Origem e Destino,200,OK,Usuários Carga 1-9,text,true,,7245,214,108,108,https://www.blazedemo.com/reserve.php,486,0,0
1686050349179,821,Acessar Site,200,OK,Usuários Carga 1-40,text,true,,4757,119,108,108,https://www.blazedemo.com/,810,0,161
1686050349725,287,Escolher o Voo,200,OK,Usuários Carga 1-10,text,true,,6719,267,109,109,https://www.blazedemo.com/purchase.php,275,0,0
1686050349441,581,Acessar Site,200,OK,Usuários Carga 1-62,text,true,,4757,119,110,110,https://www.blazedemo.com/,569,0,161
1686050349320,723,Acessar Site,200,OK,Usuários Carga 1-52,text,true,,4757,119,112,112,https://www.blazedemo.com/,711,0,165
1686050349516,550,Escolher Origem e Destino,200,OK,Usuários Carga 1-15,text,true,,7245,214,114,114,https://www.blazedemo.com/reserve.php,529,0,0
1686050349514,559,Escolher Origem e Destino,200,OK,Usuários Carga 1-42,text,true,,7245,214,114,114,https://www.blazedemo.com/reserve.php,540,0,0
1686050349564,515,Escolher Origem e Destino,200,OK,Usuários Carga 1-20,text,true,,7245,214,115,115,https://www.blazedemo.com/reserve.php,496,0,0
1686050349476,613,Acessar Site,200,OK,Usuários Carga 1-65,text,true,,4757,119,116,116,https://www.blazedemo.com/,600,0,162
1686050349489,603,Acessar Site,200,OK,Usuários Carga 1-66,text,true,,4757,119,116,116,https://www.blazedemo.com/,592,0,197
1686050349694,398,Escolher Origem e Destino,200,OK,Usuários Carga 1-28,text,true,,7245,214,116,116,https://www.blazedemo.com/reserve.php,380,0,0
1686050349690,409,Escolher Origem e Destino,200,OK,Usuários Carga 1-25,text,true,,7245,214,117,117,https://www.blazedemo.com/reserve.php,391,0,0
1686050349513,586,Acessar Site,200,OK,Usuários Carga 1-68,text,true,,4757,119,117,117,https://www.blazedemo.com/,574,0,167
1686050349861,262,Escolher Origem e Destino,200,OK,Usuários Carga 1-50,text,true,,7245,214,118,118,https://www.blazedemo.com/reserve.php,243,0,0
1686050349453,674,Acessar Site,200,OK,Usuários Carga 1-63,text,true,,4757,119,119,119,https://www.blazedemo.com/,661,0,162
1686050349373,759,Escolher Origem e Destino,200,OK,Usuários Carga 1-8,text,true,,7245,214,119,119,https://www.blazedemo.com/reserve.php,739,0,0
1686050349675,460,Escolher Origem e Destino,200,OK,Usuários Carga 1-27,text,true,,7245,214,119,119,https://www.blazedemo.com/reserve.php,439,0,0
1686050349361,775,Escolher Origem e Destino,200,OK,Usuários Carga 1-14,text,true,,7245,214,120,120,https://www.blazedemo.com/reserve.php,755,0,0
1686050349596,543,Acessar Site,200,OK,Usuários Carga 1-75,text,true,,4757,119,120,120,https://www.blazedemo.com/,531,0,151
1686050349606,538,Escolher Origem e Destino,200,OK,Usuários Carga 1-19,text,true,,7245,214,120,120,https://www.blazedemo.com/reserve.php,518,0,0
1686050349638,518,Escolher o Voo,200,OK,Usuários Carga 1-1,text,true,,6719,267,121,121,https://www.blazedemo.com/purchase.php,506,0,0
1686050349632,531,Escolher o Voo,200,OK,Usuários Carga 1-4,text,true,,6719,267,122,122,https://www.blazedemo.com/purchase.php,519,0,0
1686050349644,520,Escolher Origem e Destino,200,OK,Usuários Carga 1-18,text,true,,7245,214,122,122,https://www.blazedemo.com/reserve.php,501,0,0
1686050349465,704,Acessar Site,200,OK,Usuários Carga 1-64,text,true,,4757,119,122,122,https://www.blazedemo.com/,691,0,163
1686050349805,364,Escolher Origem e Destino,200,OK,Usuários Carga 1-54,text,true,,7245,214,122,122,https://www.blazedemo.com/reserve.php,344,0,0
1686050349364,806,Escolher Origem e Destino,200,OK,Usuários Carga 1-13,text,true,,7245,214,122,122,https://www.blazedemo.com/reserve.php,786,0,0
1686050349659,513,Escolher Origem e Destino,200,OK,Usuários Carga 1-31,text,true,,7245,214,122,122,https://www.blazedemo.com/reserve.php,493,0,0
1686050349796,378,Escolher Origem e Destino,200,OK,Usuários Carga 1-37,text,true,,7245,214,123,123,https://www.blazedemo.com/reserve.php,357,0,0
1686050349105,1097,Acessar Site,200,OK,Usuários Carga 1-34,text,true,,4757,119,125,125,https://www.blazedemo.com/,1086,0,499
1686050349644,560,Acessar Site,200,OK,Usuários Carga 1-79,text,true,,4757,119,125,125,https://www.blazedemo.com/,547,0,160
1686050349788,418,Acessar Site,200,OK,Usuários Carga 1-91,text,true,,4757,119,125,125,https://www.blazedemo.com/,408,0,156
1686050349872,334,Acessar Site,429,Too Many Requests,Usuários Carga 1-98,text,false,,212,119,125,125,https://www.blazedemo.com/,334,0,164
1686050349601,615,Escolher Origem e Destino,200,OK,Usuários Carga 1-26,text,true,,7245,214,126,126,https://www.blazedemo.com/reserve.php,595,0,0
1686050349714,503,Escolher Origem e Destino,200,OK,Usuários Carga 1-48,text,true,,7245,214,126,126,https://www.blazedemo.com/reserve.php,484,0,0
1686050349796,429,Escolher o Voo,200,OK,Usuários Carga 1-6,text,true,,6719,267,127,127,https://www.blazedemo.com/purchase.php,417,0,0
1686050349909,316,Acessar Site,429,Too Many Requests,Usuários Carga 1-101,text,false,,212,119,127,127,https://www.blazedemo.com/,316,0,159
1686050349502,728,Acessar Site,200,OK,Usuários Carga 1-67,text,true,,4757,119,127,127,https://www.blazedemo.com/,715,0,163
1686050349584,647,Acessar Site,200,OK,Usuários Carga 1-74,text,true,,4757,119,127,127,https://www.blazedemo.com/,634,0,160
1686050349799,432,Escolher Origem e Destino,200,OK,Usuários Carga 1-38,text,true,,7245,214,127,127,https://www.blazedemo.com/reserve.php,411,0,0
1686050350074,159,Escolher o Voo,429,Too Many Requests,Usuários Carga 1-42,text,false,,212,267,128,128,https://www.blazedemo.com/purchase.php,159,0,0
1686050349119,1121,Acessar Site,200,OK,Usuários Carga 1-35,text,true,,4757,119,128,128,https://www.blazedemo.com/,1109,0,586
1686050349796,472,Escolher Origem e Destino,200,OK,Usuários Carga 1-23,text,true,,7245,214,131,131,https://www.blazedemo.com/reserve.php,452,0,0
1686050349609,650,Acessar Site,200,OK,Usuários Carga 1-76,text,true,,4757,119,130,130,https://www.blazedemo.com/,639,0,163
1686050349632,626,Acessar Site,200,OK,Usuários Carga 1-78,text,true,,4757,119,130,130,https://www.blazedemo.com/,614,0,151
1686050349796,462,Escolher Origem e Destino,200,OK,Usuários Carga 1-44,text,true,,7245,214,130,130,https://www.blazedemo.com/reserve.php,442,0,0
